gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000220793	5169.7741	6715.5364	2293.3176	2574.44	5087.0465	2498.9481	2138.5882	2628.5947
ENSG00000261617	0.7095	0	0	0	0.6862	0	0	0
ENSG00000183454	0	0	0	0	0	0	0	1.1605
ENSG00000283221	0	0	2.4064	0	0	0	0	0
ENSG00000261647	2.1286	0.7707	2.4064	3.7492	0	0	0.9124	3.4816
ENSG00000166669	249.0517	188.8335	137.1659	63.7361	575.7496	464.0786	322.9779	29.0132
ENSG00000279662	9.9337	0	2.4064	8.7481	23.3319	60.0669	49.2678	0
ENSG00000199482	0	0	0	0	0	1.6457	0	0
ENSG00000260468	0	0	0	2.4995	0	1.6457	1.8247	0
ENSG00000213853	916.7373	757.6463	428.3426	1230.9822	1120.6188	2068.6057	653.2548	400.382
ENSG00000260310	1.4191	0	0	0	0	0	0	1.1605
ENSG00000153060	0.7095	0	0	0	0	0	0	0
ENSG00000263279	0	0	0	0	0	0	0.9124	0
ENSG00000263241	0	0	0	0	1.3725	0	0	2.3211
ENSG00000261904	0	0	0	0	0	0	0.9124	0
ENSG00000262322	0	0	0	0	0.6862	0	0	0
ENSG00000263196	0	0	0	0	0.6862	0	0.9124	0
ENSG00000262158	0	0	0	0	1.3725	0	0	0
ENSG00000103274	305.8156	305.2166	305.6153	344.925	157.8336	181.8464	234.4783	184.5239
ENSG00000166676	4.2573	10.0197	7.2193	2.4995	8.921	6.5827	6.3866	5.8026
ENSG00000262488	2.8382	2.3122	0	1.2497	0	1.6457	0	0
ENSG00000179583	16.3196	22.3517	21.6578	28.7437	27.4493	19.748	21.8968	13.9263
ENSG00000182108	1.4191	2.3122	62.5669	29.9935	0.6862	2.4685	4.5618	0
ENSG00000280153	14.191	10.0197	31.2835	12.4973	21.9595	34.559	22.8092	18.5684
ENSG00000263013	31.2202	42.3912	48.1284	47.4897	52.84	69.1181	66.6028	96.3238
ENSG00000262222	8.5146	7.7075	28.877	8.7481	13.0384	12.3425	20.9844	30.1737
ENSG00000038532	867.7784	750.7096	791.712	777.3309	767.8949	928.9801	792.8469	935.3852
ENSG00000229917	1.4191	0.7707	0	0	3.4312	2.4685	5.4742	6.9632
ENSG00000274038	1.4191	1.5415	4.8128	1.2497	0	1.6457	0	1.1605
ENSG00000262020	0	0	0	0	1.3725	1.6457	5.4742	2.3211
ENSG00000263033	0	0	0	0	0	3.2913	0	0
ENSG00000263179	6.3859	12.332	9.6257	7.4984	0.6862	0	8.2113	3.4816
ENSG00000175643	300.1392	177.2723	115.5081	246.1964	46.6639	100.3858	77.5512	105.608
ENSG00000185338	6.3859	4.6245	4.8128	8.7481	0	0	1.8247	0
ENSG00000263080	2.8382	1.5415	0	3.7492	0	0	0.9124	1.1605
